Country,Life Ladder,Healthy Life Expectancy/10,Social Support,Generosity,Positive Affect,Negative Affect,Log GDP per capita,Healthy life expectancy at birth
Sweden,7.3,7.3,9.2,5.8,8.1,1.8,10.75016117,72.74526978
Switzerland,7.5,7.3,9.4,5.5,7.7,2,10.95663357,73.17375946
Syria,3.5,6.1,4.6,2.8,3.7,6.4,,60.95451355
Taiwan Province of China,6.4,7.1,8.9,3.7,8.4,1.1,,70.97997284
Tajikistan,5.4,6.3,7.9,2.5,6,2.8,7.91971159,62.81214523
Tanzania,3.3,5.6,7.1,3.3,7.1,2.6,7.857804298,55.99565125
Thailand,6.1,6.6,8.8,6.2,8.2,2.3,9.659890175,66.23813629
Togo,4,5.2,5,1.1,6.1,4.3,7.22990799,51.95452881
Trinidad and Tobago,6.2,6.2,9.2,3.7,8.5,2.5,10.32386494,61.73831177
Tunisia,4.6,6.6,6.8,0.9,4.2,3.8,9.286602974,65.72196198
Turkey,5.5,6.6,8.7,2.5,4.5,3.1,10.08501816,65.5740509
Turkmenistan,5.6,6,9.3,3.6,5.2,3.5,9.658661842,60.25896454
Uganda,4.2,5.1,7.5,2.8,7,4,7.430361271,51.45369339
Ukraine,4.1,6.3,8.8,2.9,6,2.3,8.943782806,63.17077637
United Arab Emirates,6.8,6.8,8.3,6.1,8,2.1,11.10885906,68.42332458
United Kingdom,6.8,7.2,9.4,6.7,7.6,2.1,10.57631779,71.79316711
United States,6.9,7,9.1,5.9,8.3,2.7,10.8869915,69.7709198
Uruguay,6.4,6.8,9,2.7,8.4,2.8,9.906208992,68.24829865
Uzbekistan,6.1,6.3,9.5,4.9,8.4,2,8.705645561,63.03148651
Venezuela,4.8,6.5,9.1,1.4,6.9,3.9,9.594682693,64.67490387
Vietnam,5.1,6.6,8.6,2.5,5.4,2.2,8.692094803,66.07466125
Yemen,3.4,5.5,7.4,0.3,4.6,3,7.814972401,54.79708099
Zambia,4.4,5.3,7.3,2.8,6.8,3.9,8.203147888,53.26426315
Zimbabwe,3.7,5.2,7.5,0.9,8.1,2.2,7.544406891,51.796772
